Last Name,First Name,Year of Ph.D. (received or expected),Job Title,Research Area(s),Research Topic(s),Website,Google Scholar
Rutledge,Kwesi,2021,PhD Candidate,"Controls, Optimization","Correct-By-Construction Control, Optimal Control",http://www-personal.umich.edu/~krutledg/,https://scholar.google.com/citations?hl=en&view_op=list_works&gmla=AJsN-F4Mg2t3P9PDMeDPaHMhMF2lwj7hdo4YXLPq9EUUemjK0i_XSVfAitjyMNiB88hVtGgwAIFn69M8-Fvg3vLObHItPAntyw&user=CCDPS3wAAAAJ
Louis,Nathan,2022,Graduate Research Assistant,Computer Vision,"Video object tracking, articulated pose tracking, object detection",http://natlouis.github.io,
Gomez,Marcella,2015,Assistant Professor ,"Machine Learning, Controls","Systems biology, controlling biology, mathematical biology",https://glab.soe.ucsc.edu/home,https://scholar.google.com/citations?user=GuSkkHUAAAAJ&hl=en
Koyejo,Sanmi,2013,Assistant Professor,Machine Learning,"Robust ML, Distributed ML, Fairness in ML, Metrics, Neuroscience and healthcare applications",https://sanmi.cs.illinois.edu/,https://scholar.google.com/citations?user=EaaOeJwAAAAJ
Johnson-Roberson,Matthew,2010,Associate Professor,"Machine Learning, Computer Vision","Robotic Perception, Self-driving cars, Underwater Robotics",https://droplab.engin.umich.edu,https://scholar.google.com/citations?user=vzay0DoAAAAJ
Duarte,Marco,2009,Associate Professor,"Signal Processing, Machine Learning",Low-dimensional models for high-dimensional data,http://www.ecs.umass.edu/~mduarte,https://scholar.google.com/citations?user=xplw9-gAAAAJ&hl=en
Mackey,Lester,2012,Principal Researcher,"Machine Learning, Statistics","Machine learning, statistics, probability",stanford.edu/~lmackey,https://scholar.google.com/citations?user=erv7TP0AAAAJ&hl=en
Tolooshams,Bahareh,2023,PhD Candidate,"Signal Processing, Machine Learning, Optimization","Model-based deep learning, deep learning theory, computational neuroscience, inverse problems",https://btolooshams.github.io,https://scholar.google.com/citations?user=jeEh_KcAAAAJ&hl=en
Hicks,Illya,2000,Professor,"Machine Learning, Optimization",discrete optimization; graph/network theory; combinatorial optimization; operations research,http://www.caam.rice.edu/~ivhicks,
Ricanek,Karl,1999,Professor,"Signal Processing, Machine Learning, Computer Vision, Optimization","My research career spans AI/ML from the mid 1990s to current. I have developed major breakthroughs in biometrics, face recognition, facial analytics, face detection, face landmarks, circuit board detection and more.",http://people.uncw.edu/ricanekk,https://scholar.google.com/citations?user=hdfoATgAAAAJ&hl=en
